,BILL SS Equity
,GHG_SCOPE_1
2013-12-31,106.0
2014-12-31,90.0
2015-12-31,121.4
2016-12-31,126.7
2017-12-31,128.6
2018-12-31,148.0
2019-12-31,146.0
2020-12-31,131.0
2021-12-31,135.0
