,VIE FP Equity
,GHG_SCOPE_1
2011-12-31,36100.0
2012-12-31,34400.0
2013-12-31,34900.0
2014-12-31,26200.0
2015-12-31,27400.0
2016-12-31,28500.0
2017-12-31,29500.0
2018-12-31,29600.0
2019-12-31,26300.0
2020-12-31,25000.0
2021-12-31,26700.0
