,LMP LN Equity
,GHG_SCOPE_1
2014-03-31,0.708
2015-03-31,0.576
2016-03-31,0.474
2017-03-31,0.264
2018-03-31,0.195
2019-03-31,0.022
2020-03-31,0.027
2021-03-31,0.043
2022-03-31,0.021
