,SN/ LN Equity
,GHG_SCOPE_1
2011-12-31,10.894
2012-12-31,10.976
2013-12-31,10.102
2014-12-31,11.213
2015-12-31,11.011
2016-12-31,9.822
2017-12-31,9.451
2018-12-31,9.956
2019-12-31,9.888
2020-12-31,9.754
2021-12-31,11.335
