,HL/ LN Equity
,GHG_SCOPE_1
2012-06-30,0.254
2013-06-30,0.221
2014-06-30,0.215
2015-06-30,0.354
2016-06-30,0.401
2017-06-30,0.217
2018-06-30,1.285
2019-06-30,0.992
2020-06-30,1.002
2021-06-30,0.975
