,PUB FP Equity
,GHG_SCOPE_1
2011-12-31,7.722
2012-12-31,8.522
2013-12-31,9.141
2014-12-31,9.385
2015-12-31,9.453
2016-12-31,12.374
2017-12-31,13.118
2018-12-31,5.586
2019-12-31,7.349
2020-12-31,7.351
2021-12-31,4.299
