,APAM NA Equity
,GHG_SCOPE_1
2011-12-31,1700.0
2012-12-31,672.0
2013-12-31,643.0
2014-12-31,685.0
2017-12-31,769.0
2018-12-31,781.0
2019-12-31,680.0
2020-12-31,666.372
2021-12-31,941.677
