,CKN LN Equity
,GHG_SCOPE_1
2013-12-31,0.866
2014-12-31,1.067
2015-12-31,0.922
2016-12-31,0.86
2017-12-31,1.179
2018-12-31,1.053
2019-12-31,1.177
2020-12-31,0.794
2021-12-31,0.993
