,ALV GR Equity
,GHG_SCOPE_1
2011-12-31,70.15
2012-12-31,82.805
2013-12-31,68.562
2014-12-31,65.887
2015-12-31,65.328
2016-12-31,54.284
2017-12-31,52.527
2018-12-31,46.734
2019-12-31,42.011
2020-12-31,28.714
2021-12-31,28.699
