,SPX LN Equity
,GHG_SCOPE_1
2011-12-31,15.656
2012-12-31,14.428
2013-12-31,17.266
2014-12-31,16.273
2015-12-31,16.659
2016-12-31,17.354
2017-12-31,17.23
2018-12-31,19.563
2019-12-31,23.878
2020-12-31,20.06
2021-12-31,21.781
