,BMPS IM Equity
,GHG_SCOPE_1
2011-12-31,22.803
2012-12-31,20.984
2013-12-31,20.778
2014-12-31,16.135
2015-12-31,16.285
2016-12-31,14.577
2017-12-31,14.245
2018-12-31,13.054
2019-12-31,12.829
2020-12-31,11.612
2021-12-31,7.459
