,ROSN RM Equity
,GHG_SCOPE_1
2011-12-31,31600.0
2012-12-31,31000.0
2014-12-31,49800.0
2015-12-31,46000.0
2016-12-31,52400.0
2017-12-31,53500.0
2018-12-31,54200.0
2019-12-31,59400.0
2020-12-31,60900.0
2021-12-31,54200.0
