,BGEO LN Equity
,GHG_SCOPE_1
2012-12-31,8.023
2013-12-31,8.453
2014-12-31,7.614
2015-12-31,6.679
2016-12-31,10.567
2017-12-31,19.165
2018-12-31,2.034
2019-12-31,1.507
2020-12-31,1.835
2021-12-31,1.997
