,ENGI FP Equity
,GHG_SCOPE_1
2011-12-31,157783.0
2012-12-31,155110.0
2013-12-31,141985.0
2014-12-31,131155.0
2015-12-31,132757.0
2016-12-31,120150.0
2017-12-31,89236.398
2018-12-31,65778.898
2019-12-31,53952.301
2020-12-31,38589.0
2021-12-31,37528.801
