,HLCL LN Equity
,GHG_SCOPE_1
2014-03-31,0.494
2015-03-31,0.607
2016-03-31,0.57
2017-03-31,1.009
2018-03-31,0.796
2019-03-31,0.739
2020-03-31,0.642
2021-03-31,0.86
2022-03-31,0.142
