,SAN SM Equity
,GHG_SCOPE_1
2011-12-31,30.272
2012-12-31,31.857
2013-12-31,31.642
2014-12-31,31.185
2015-12-31,29.078
2016-12-31,26.995
2017-12-31,28.941
2018-12-31,31.227
2019-12-31,22.691
2020-12-31,24.818
2021-12-31,25.672
