,MN IM Equity
,GHG_SCOPE_1
2011-12-31,2.255
2012-12-31,2.064
2013-12-31,1.93
2014-12-31,1.232
2015-12-31,1.002
2016-12-31,1.328
2017-12-31,1.125
2018-12-31,0.906
2019-12-31,0.848
2020-12-31,0.726
2021-12-31,1.069
