,SKFB SS Equity
,GHG_SCOPE_1
2011-12-31,63.972
2012-12-31,64.781
2013-12-31,65.79
2014-12-31,60.369
2015-12-31,58.098
2016-12-31,56.213
2017-12-31,62.269
2018-12-31,62.034
2019-12-31,57.879
2020-12-31,50.285
2021-12-31,56.478
