,IFX GR Equity
,GHG_SCOPE_1
2013-09-30,187.211
2014-09-30,193.884
2015-09-30,237.868
2016-09-30,295.869
2017-09-30,259.078
2018-09-30,273.214
2019-09-30,264.203
2020-09-30,229.89
2021-09-30,298.246
