,BOOT LN Equity
,GHG_SCOPE_1
2013-12-31,2.37
2014-12-31,2.288
2015-12-31,2.048
2016-12-31,2.06
2017-12-31,2.222
2018-12-31,2.261
2019-12-31,2.207
2020-12-31,1.918
2021-12-31,2.303
