,HUSQB SS Equity
,GHG_SCOPE_1
2013-12-31,38.162
2014-12-31,40.825
2015-12-31,42.681
2016-12-31,34.89
2017-12-31,33.494
2018-12-31,28.498
2019-12-31,29.929
2020-12-31,24.046
2021-12-31,22.562
