,MOWI NO Equity
,GHG_SCOPE_1
2011-12-31,25.827
2012-12-31,26.786
2013-12-31,50.714
2014-12-31,69.671
2015-12-31,95.983
2016-12-31,102.754
2017-12-31,122.914
2018-12-31,121.784
2019-12-31,156.232
2020-12-31,184.45
2021-12-31,137.374
