,RENE PL Equity
,GHG_SCOPE_1
2011-12-31,17.205
2012-12-31,32.491
2013-12-31,20.991
2014-12-31,26.665
2015-12-31,19.905
2016-12-31,28.797
2017-12-31,28.159
2018-12-31,21.745
2019-12-31,22.812
2020-12-31,21.737
2021-12-31,34.187
