,GRG LN Equity
,GHG_SCOPE_1
2013-12-28,34.882
2015-01-03,37.004
2016-01-02,35.869
2016-12-31,43.205
2017-12-30,39.682
2018-12-29,39.527
2019-12-28,38.668
2021-01-02,27.653
2022-01-01,35.965
