,DTE GR Equity
,GHG_SCOPE_1
2011-12-31,414.081
2012-12-31,356.128
2013-12-31,336.5
2014-12-31,336.641
2015-12-31,298.94
2016-12-31,289.19
2017-12-31,283.349
2018-12-31,276.727
2019-12-31,256.476
2020-12-31,235.261
2021-12-31,218.731
