,BPOST BB Equity
,GHG_SCOPE_1
2012-12-31,74.329
2013-12-31,74.946
2014-12-31,70.867
2015-12-31,70.607
2016-12-31,69.233
2017-12-31,78.172
2018-12-31,87.848
2019-12-31,88.996
2020-12-31,88.966
2021-12-31,95.083
