,AI FP Equity
,GHG_SCOPE_1
2011-12-31,10549.0
2012-12-31,11272.0
2013-12-31,11846.0
2014-12-31,11569.0
2015-12-31,13552.0
2016-12-31,14062.0
2017-12-31,14476.0
2018-12-31,15390.0
2019-12-31,15641.0
2020-12-31,14955.0
2021-12-31,15536.0
