,VID LN Equity
,GHG_SCOPE_1
2013-12-31,1.713
2014-12-31,1.653
2015-12-31,1.599
2016-12-31,1.709
2017-12-31,1.647
2018-12-31,1.815
2019-12-31,1.179
2020-12-31,0.833
2021-12-31,1.357
