,BVIC LN Equity
,GHG_SCOPE_1
2013-09-29,22.402
2014-09-28,17.965
2015-09-27,19.745
2016-10-02,31.129
2017-10-01,28.391
2018-09-30,31.439
2019-09-29,28.06
2020-09-30,17.885
2021-09-30,15.797
