,SWEDA SS Equity
,GHG_SCOPE_1
2011-12-31,4.4
2012-12-31,1.22
2013-12-31,0.861
2014-12-31,2.495
2015-12-31,0.989
2016-12-31,0.881
2017-12-31,0.78
2018-12-31,1.017
2019-12-31,1.02
2020-12-31,0.632
2021-12-31,0.466
