,BAVA DC Equity
,GHG_SCOPE_1
2011-12-31,1.302
2012-12-31,1.471
2013-12-31,1.418
2014-12-31,1.116
2015-12-31,1.02
2016-12-31,1.134
2017-12-31,0.991
2018-12-31,0.964
2019-12-31,0.908
2020-12-31,1.381
2021-12-31,1.422
