,NTGY SM Equity
,GHG_SCOPE_1
2011-12-31,23178.0
2012-12-31,24272.0
2013-12-31,20796.0
2014-12-31,19839.9
2015-12-31,22423.4
2016-12-31,19574.0
2017-12-31,20531.1
2018-12-31,18305.6
2019-12-31,15415.3
2020-12-31,14301.9
2021-12-31,12965.2
