,VCT LN Equity
,GHG_SCOPE_1
2011-09-30,15.964
2012-09-30,16.296
2013-09-30,14.4
2014-09-30,16.594
2015-09-30,21.975
2016-09-30,22.039
2017-09-30,22.478
2018-09-30,25.231
2019-09-30,23.568
2020-09-30,18.241
2021-09-30,20.161
