,SUY1V FH Equity
,GHG_SCOPE_1
2013-12-31,41.207
2014-12-31,44.115
2015-12-31,42.202
2016-12-31,41.564
2017-12-31,44.867
2018-12-31,47.938
2019-12-31,41.983
2020-12-31,45.423
2021-12-31,43.299
