,EL FP Equity
,GHG_SCOPE_1
2013-12-31,19.598
2014-12-31,18.391
2015-12-31,16.743
2016-12-31,17.47
2017-12-31,21.05
2018-12-31,52.233
2019-12-31,55.936
2020-12-31,46.011
2021-12-31,52.807
