,TW/ LN Equity
,GHG_SCOPE_1
2011-12-31,10.923
2012-12-31,13.679
2013-12-31,16.177
2014-12-31,16.436
2015-12-31,17.769
2016-12-31,17.983
2017-12-31,18.889
2018-12-31,20.328
2019-12-31,21.018
2020-12-31,16.522
2021-12-31,17.464
