,SNP RO Equity
,GHG_SCOPE_1
2011-12-31,4300.0
2012-12-31,4500.0
2013-12-31,5200.0
2014-12-31,4903.19
2015-12-31,4766.46
2016-12-31,4546.87
2017-12-31,4103.44
2018-12-31,4587.28
2019-12-31,4308.76
2020-12-31,3990.0
2021-12-31,4040.0
