,BP/ LN Equity
,GHG_SCOPE_1
2011-12-31,61800.0
2012-12-31,59800.0
2013-12-31,49200.0
2014-12-31,48600.0
2015-12-31,51200.0
2016-12-31,51400.0
2017-12-31,50500.0
2018-12-31,48800.0
2019-12-31,49200.0
2020-12-31,41700.0
2021-12-31,33200.0
