,SIE GR Equity
,GHG_SCOPE_1
2011-09-30,1263.0
2012-09-30,1042.0
2013-09-30,998.0
2014-09-30,899.0
2015-09-30,845.0
2016-09-30,856.0
2017-09-30,862.0
2018-09-30,821.0
2019-09-30,768.0
2020-09-30,524.0
