,DPW GR Equity
,GHG_SCOPE_1
2012-12-31,4800.0
2013-12-31,5120.0
2014-12-31,5220.0
2015-12-31,5600.0
2016-12-31,5680.0
2017-12-31,5900.0
2018-12-31,6300.0
2019-12-31,6270.0
2020-12-31,6580.0
2021-12-31,7300.0
