,IDR SM Equity
,GHG_SCOPE_1
2011-12-31,6.971
2012-12-31,6.437
2013-12-31,6.427
2014-12-31,6.354
2015-12-31,0.958
2016-12-31,0.785
2017-12-31,1.957
2018-12-31,0.949
2019-12-31,0.828
2020-12-31,1.764
2021-12-31,1.759
