,AKZA NA Equity
,GHG_SCOPE_1
2011-12-31,1600.0
2012-12-31,1500.0
2013-12-31,1100.0
2014-12-31,1100.0
2015-12-31,1500.0
2016-12-31,1600.0
2017-12-31,1500.0
2018-12-31,62.9
2019-12-31,58.29
2020-12-31,57.16
2021-12-31,64.51
