,ESKN LN Equity
,GHG_SCOPE_1
2013-02-28,280.377
2014-02-28,342.2
2015-02-28,21.493
2016-02-29,26.313
2017-02-28,24.534
2018-02-28,21.569
2019-02-28,29.148
2020-02-29,23.987
2021-02-28,19.623
2022-02-28,17.234
