,NOKIA FH Equity
,GHG_SCOPE_1
2011-12-31,23.9
2012-12-31,16.129
2013-12-31,11.822
2014-12-31,10.5
2015-12-31,7.0
2016-12-31,189.2
2017-12-31,143.5
2018-12-31,134.5
2019-12-31,125.0
2020-12-31,116.3
2021-12-31,124.3
