,GRF SM Equity
,GHG_SCOPE_1
2011-12-31,88.158
2012-12-31,83.004
2013-12-31,80.406
2014-12-31,83.908
2015-12-31,85.531
2016-12-31,92.644
2017-12-31,103.045
2018-12-31,98.043
2019-12-31,112.564
2020-12-31,111.435
2021-12-31,147.669
