,EBK GR Equity
,GHG_SCOPE_1
2011-12-31,21900.0
2012-12-31,20800.0
2013-12-31,22700.0
2014-12-31,19600.0
2015-12-31,16500.0
2016-12-31,16200.0
2017-12-31,16770.0
2018-12-31,16620.0
2019-12-31,10779.2
2020-12-31,9559.19
2021-12-31,16312.8
