,CAP FP Equity
,GHG_SCOPE_1
2011-12-31,2.475
2012-12-31,9.564
2013-12-31,11.343
2014-12-31,7.786
2015-12-31,5.973
2016-12-31,6.225
2017-12-31,6.799
2018-12-31,8.041
2019-12-31,9.036
2020-12-31,7.916
2021-12-31,10.622
