,AEFES TI Equity
,GHG_SCOPE_1
2011-12-31,153.0
2012-12-31,149.0
2013-12-31,168.0
2014-12-31,161.0
2015-12-31,148.0
2016-12-31,134.0
2017-12-31,134.086
2018-12-31,212.3
2019-12-31,214.014
2020-12-31,197.501
2021-12-31,218.231
