,BAYN GR Equity
,GHG_SCOPE_1
2011-12-31,4230.0
2012-12-31,4240.0
2013-12-31,4090.0
2014-12-31,4020.0
2015-12-31,4410.0
2016-12-31,4300.0
2017-12-31,2500.0
2018-12-31,3900.0
2019-12-31,2030.0
2020-12-31,2010.0
2021-12-31,1930.0
