,DLN LN Equity
,GHG_SCOPE_1
2011-12-31,3.244
2012-12-31,3.632
2013-12-31,4.756
2014-12-31,3.166
2015-12-31,3.186
2016-12-31,3.534
2017-12-31,4.321
2018-12-31,4.223
2019-12-31,4.649
2020-12-31,3.326
2021-12-31,3.173
