,KRKG SV Equity
,GHG_SCOPE_1
2011-12-31,26.991
2012-12-31,26.542
2013-12-31,27.367
2014-12-31,40.273
2015-12-31,32.288
2016-12-31,33.227
2017-12-31,43.761
2018-12-31,34.242
2019-12-31,33.332
2020-12-31,34.709
