,DOKA SW Equity
,GHG_SCOPE_1
2013-06-30,10.532
2014-06-30,10.058
2015-06-30,10.679
2016-06-30,17.514
2017-06-30,23.38
2018-06-30,24.352
2019-06-30,28.318
2020-06-30,28.52
2021-06-30,30.247
