,UCG IM Equity
,GHG_SCOPE_1
2011-12-31,84.952
2012-12-31,77.043
2013-12-31,87.255
2014-12-31,67.459
2015-12-31,70.096
2016-12-31,71.936
2017-12-31,63.31
2018-12-31,53.698
2019-12-31,45.721
2020-12-31,41.211
2021-12-31,44.016
