,PFG LN Equity
,GHG_SCOPE_1
2011-12-31,3.654
2012-12-31,1.764
2013-12-31,1.826
2014-12-31,1.797
2015-12-31,1.405
2016-12-31,1.422
2017-12-31,1.791
2018-12-31,1.803
2019-12-31,0.7
2020-12-31,0.408
2021-12-31,0.311
