,SREN SW Equity
,GHG_SCOPE_1
2011-12-31,5.0
2012-12-31,3.9
2013-12-31,3.926
2014-12-31,3.437
2015-12-31,3.414
2016-12-31,3.953
2017-12-31,3.536
2018-12-31,4.186
2019-12-31,4.248
2020-12-31,2.901
2021-12-31,2.665
