,IPN FP Equity
,GHG_SCOPE_1
2012-12-31,12.971
2013-12-31,13.693
2014-12-31,13.275
2015-12-31,13.024
2016-12-31,13.239
2017-12-31,14.18
2018-12-31,14.75
2019-12-31,20.58
2020-12-31,14.916
2021-12-31,15.408
