field_id,index,mnemonic,description,EQSdisp,EQSscreen,BQL,env,soc,gov,esgo,fr_bbggei,fr_eet,fr_eutax,fr_sdgs,fr_sfdr,fr_tcfd,source,issue1,issue2,theme1,theme2,is_esg,esgd,field_pop_rank,freq,bqlc_y2021,bqlc_y2020,bqlc_y2019,bqlc_y2018,bqlc_freq
SA333,53570,NUM_OF_COMPNY_FACS_NONCOMPL,Number of Company Facilities Non-Compliance,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,2203.0,Yearly,5.0,5.0,2.0,1.0,Yearly
SA334,53571,NUM_FINES_HEALTH_AND_SAFETY,Number of Fines for Health and Safety,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,OccupationalHealth&SafetyManagement,,HumanCapital,,True,True,646.0,Yearly,356.0,251.0,186.0,163.0,Yearly
SA335,53572,AMT_FINES_HEALTH_AND_SAFETY,Amount Of Fines For Health And Safety,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,OccupationalHealth&SafetyManagement,,HumanCapital,,True,True,672.0,Yearly,358.0,255.0,188.0,168.0,Yearly
SA341,53578,NUM_CSTM_AFFECTED_BY_BREACH,Number of Customers Affected By Data Breaches,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,DataProtection,,Community&Customers,,True,True,959.0,Yearly,774.0,606.0,462.0,355.0,Yearly
SA345,53582,WT_MAT_RECVD_TAKE_BACK_PROG,Weight Materials Recovered Through Take Back Prog,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1860.0,Yearly,44.0,38.0,30.0,24.0,Yearly
SA346,53583,MATS_RECOVERED_WERE_RECYCLED,Materials Recovered That Were Recycled,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1853.0,Yearly,41.0,30.0,18.0,16.0,Yearly
SA347,53584,PCT_RECYCLED_MATS_RECOVERED,Percentage Recycled of Materials Recovered,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1852.0,Yearly,47.0,43.0,24.0,17.0,Yearly
SA349,53586,CYBERSECURITY_RISK_MGMT,Cybersecurity Risk Management,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,OperationalRiskManagement,,HumanCapital,,True,True,810.0,Yearly,4768.0,3712.0,3576.0,3444.0,Yearly
SA359,53593,AMOUNT_OF_SIGNFCNT_ENV_FINES,Amount of Significant Environmental Fines,True,False,True,True,False,False,False,False,False,False,False,False,True,BLP,EcologicalImpact,,NaturalCapital,,True,True,326.0,Yearly,2006.0,2056.0,1844.0,1565.0,Yearly
SA361,53594,AMOUNT_SIGNIF_SPILLS,Amount of Significant Spills,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EcologicalImpact,,NaturalCapital,,True,True,803.0,Yearly,406.0,619.0,638.0,544.0,Yearly
